N_Ph (cm⁻³)	ρ (Ω cm)
1.000000E+12	4.414774E+03
1.037528E+12	4.255157E+03
1.076465E+12	4.101309E+03
1.116863E+12	3.953022E+03
1.158777E+12	3.810095E+03
1.202264E+12	3.672335E+03
1.247384E+12	3.539555E+03
1.294196E+12	3.411575E+03
1.342765E+12	3.288222E+03
1.393157E+12	3.169328E+03
1.445440E+12	3.054733E+03
1.499685E+12	2.944282E+03
1.555966E+12	2.837824E+03
1.614359E+12	2.735215E+03
1.674943E+12	2.636316E+03
1.737801E+12	2.540993E+03
1.803018E+12	2.449117E+03
1.870682E+12	2.360564E+03
1.940886E+12	2.275212E+03
2.013724E+12	2.192947E+03
2.089296E+12	2.113657E+03
2.167704E+12	2.037233E+03
2.249055E+12	1.963574E+03
2.333458E+12	1.892578E+03
2.421029E+12	1.824149E+03
2.511886E+12	1.758195E+03
2.606154E+12	1.694627E+03
2.703958E+12	1.633357E+03
2.805434E+12	1.574302E+03
2.910717E+12	1.517384E+03
3.019952E+12	1.462523E+03
3.133286E+12	1.409647E+03
3.250873E+12	1.358683E+03
3.372873E+12	1.309562E+03
3.499452E+12	1.262217E+03
3.630781E+12	1.216584E+03
3.767038E+12	1.172602E+03
3.908409E+12	1.130210E+03
4.055085E+12	1.089352E+03
4.207266E+12	1.049970E+03
4.365158E+12	1.012014E+03
4.528976E+12	9.754293E+02
4.698941E+12	9.401680E+02
4.875285E+12	9.061820E+02
5.058247E+12	8.734250E+02
5.248075E+12	8.418526E+02
5.445027E+12	8.114219E+02
5.649370E+12	7.820918E+02
5.861382E+12	7.538223E+02
6.081350E+12	7.265751E+02
6.309573E+12	7.003132E+02
6.546362E+12	6.750011E+02
6.792036E+12	6.506043E+02
7.046931E+12	6.270897E+02
7.311391E+12	6.044255E+02
7.585776E+12	5.825809E+02
7.870458E+12	5.615262E+02
8.165824E+12	5.412329E+02
8.472274E+12	5.216734E+02
8.790225E+12	5.028212E+02
9.120108E+12	4.846508E+02
9.462372E+12	4.671374E+02
9.817479E+12	4.502572E+02
1.018591E+13	4.339875E+02
1.056818E+13	4.183061E+02
1.096478E+13	4.031917E+02
1.137627E+13	3.886239E+02
1.180321E+13	3.745828E+02
1.224616E+13	3.610494E+02
1.270574E+13	3.480054E+02
1.318257E+13	3.354330E+02
1.367729E+13	3.233152E+02
1.419058E+13	3.116356E+02
1.472313E+13	3.003782E+02
1.527566E+13	2.895279E+02
1.584893E+13	2.790700E+02
1.644372E+13	2.689901E+02
1.706082E+13	2.592747E+02
1.770109E+13	2.499105E+02
1.836538E+13	2.408849E+02
1.905461E+13	2.321856E+02
1.976970E+13	2.238009E+02
2.051162E+13	2.157193E+02
2.128139E+13	2.079298E+02
2.208005E+13	2.004220E+02
2.290868E+13	1.931856E+02
2.376840E+13	1.862108E+02
2.466039E+13	1.794881E+02
2.558586E+13	1.730085E+02
2.654606E+13	1.667631E+02
2.754229E+13	1.607435E+02
2.857591E+13	1.549415E+02
2.964831E+13	1.493492E+02
3.076097E+13	1.439591E+02
3.191538E+13	1.387638E+02
3.311311E+13	1.337564E+02
3.435579E+13	1.289299E+02
3.564511E+13	1.242778E+02
3.698282E+13	1.197940E+02
3.837072E+13	1.154721E+02
3.981072E+13	1.113065E+02
4.130475E+13	1.072915E+02
4.285485E+13	1.034215E+02
4.446313E+13	9.969147E+01
4.613176E+13	9.609620E+01
4.786301E+13	9.263086E+01
4.965923E+13	8.929076E+01
5.152286E+13	8.607136E+01
5.345644E+13	8.296830E+01
5.546257E+13	7.997737E+01
5.754399E+13	7.709453E+01
5.970353E+13	7.431585E+01
6.194411E+13	7.163757E+01
6.426877E+13	6.905607E+01
