ρ (cm⁻³)	Ec0 (eV)	Ev0 (eV)
0.000000E+00	5.640830E-01	-5.662280E-01
1.000000E+12	4.441176E-01	-6.861484E-01
1.037528E+12	4.431653E-01	-6.870998E-01
1.076465E+12	4.422131E-01	-6.880512E-01
1.116863E+12	4.412608E-01	-6.890026E-01
1.158777E+12	4.403085E-01	-6.899540E-01
1.202264E+12	4.393562E-01	-6.909054E-01
1.247384E+12	4.384039E-01	-6.918568E-01
1.294196E+12	4.374516E-01	-6.928081E-01
1.342765E+12	4.364993E-01	-6.937595E-01
1.393157E+12	4.355469E-01	-6.947109E-01
1.445440E+12	4.345946E-01	-6.956622E-01
1.499685E+12	4.336423E-01	-6.966135E-01
1.555966E+12	4.326899E-01	-6.975648E-01
1.614359E+12	4.317376E-01	-6.985162E-01
1.674943E+12	4.307852E-01	-6.994674E-01
1.737801E+12	4.298329E-01	-7.004187E-01
1.803018E+12	4.288805E-01	-7.013700E-01
1.870682E+12	4.279281E-01	-7.023212E-01
1.940886E+12	4.269757E-01	-7.032724E-01
2.013724E+12	4.260234E-01	-7.042237E-01
2.089296E+12	4.250710E-01	-7.051748E-01
2.167704E+12	4.241186E-01	-7.061260E-01
2.249055E+12	4.231662E-01	-7.070772E-01
2.333458E+12	4.222138E-01	-7.080283E-01
2.421029E+12	4.212614E-01	-7.089794E-01
2.511886E+12	4.203090E-01	-7.099305E-01
2.606154E+12	4.193567E-01	-7.108816E-01
2.703958E+12	4.184043E-01	-7.118326E-01
2.805434E+12	4.174519E-01	-7.127836E-01
2.910717E+12	4.164995E-01	-7.137346E-01
3.019952E+12	4.155471E-01	-7.146856E-01
3.133286E+12	4.145947E-01	-7.156365E-01
3.250873E+12	4.136423E-01	-7.165875E-01
3.372873E+12	4.126898E-01	-7.175384E-01
3.499452E+12	4.117374E-01	-7.184892E-01
3.630781E+12	4.107850E-01	-7.194401E-01
3.767038E+12	4.098326E-01	-7.203909E-01
3.908409E+12	4.088802E-01	-7.213417E-01
4.055085E+12	4.079278E-01	-7.222924E-01
4.207266E+12	4.069754E-01	-7.232431E-01
4.365158E+12	4.060230E-01	-7.241938E-01
4.528976E+12	4.050706E-01	-7.251445E-01
4.698941E+12	4.041182E-01	-7.260951E-01
4.875285E+12	4.031657E-01	-7.270457E-01
5.058247E+12	4.022133E-01	-7.279963E-01
5.248075E+12	4.012609E-01	-7.289468E-01
5.445027E+12	4.003085E-01	-7.298973E-01
5.649370E+12	3.993561E-01	-7.308478E-01
5.861382E+12	3.984037E-01	-7.317982E-01
6.081350E+12	3.974513E-01	-7.327486E-01
6.309573E+12	3.964988E-01	-7.336989E-01
6.546362E+12	3.955464E-01	-7.346492E-01
6.792036E+12	3.945940E-01	-7.355995E-01
7.046931E+12	3.936416E-01	-7.365498E-01
7.311391E+12	3.926892E-01	-7.375000E-01
7.585776E+12	3.917368E-01	-7.384501E-01
7.870458E+12	3.907843E-01	-7.394002E-01
8.165824E+12	3.898319E-01	-7.403503E-01
8.472274E+12	3.888795E-01	-7.413003E-01
8.790225E+12	3.879271E-01	-7.422503E-01
9.120108E+12	3.869747E-01	-7.432002E-01
9.462372E+12	3.860223E-01	-7.441501E-01
9.817479E+12	3.850698E-01	-7.451000E-01
1.018591E+13	3.841174E-01	-7.460498E-01
1.056818E+13	3.831650E-01	-7.469995E-01
1.096478E+13	3.822126E-01	-7.479492E-01
1.137627E+13	3.812602E-01	-7.488989E-01
1.180321E+13	3.803078E-01	-7.498485E-01
1.224616E+13	3.793553E-01	-7.507980E-01
1.270574E+13	3.784029E-01	-7.517475E-01
